,City,Cloudiness,Country,Humidity,Temp,Lat,Lng,Wind_Speed
0,sao joao da barra,85,BR,88,78.44,-21.64,-41.05,17.56
1,albany,90,US,63,33.01,42.65,-73.75,4.7
2,faanui,13,PF,80,82.17,-16.48,-151.75,18.32
3,colares,0,PT,87,48.99,38.8,-9.45,9.17
4,tazovskiy,95,RU,94,7.02,67.47,78.7,11.79
5,tena,40,EC,70,84.2,-0.99,-77.82,2.24
6,zistersdorf,75,AT,80,39.0,48.54,16.76,4.7
7,smithers,90,CA,92,15.8,54.78,-127.17,2.24
8,tevaitoa,2,PF,79,82.35,-16.78,-151.5,16.84
9,hobart,20,AU,42,81.0,-42.88,147.33,6.93
10,san cristobal,61,HN,94,64.11,14.68,-86.92,5.84
11,rikitea,11,PF,77,77.67,-23.12,-134.97,18.86
12,pyatnitskoye,100,RU,92,28.4,54.34,35.89,2.24
13,saint-georges,67,CA,87,18.0,46.12,-70.67,4.52
14,tiksi,97,RU,89,-8.39,71.64,128.87,5.39
15,jamestown,0,AU,22,81.64,-33.21,138.6,14.54
16,bara,1,NG,29,67.57,10.41,10.6,7.72
17,gornopravdinsk,72,RU,97,0.32,60.06,69.92,5.53
18,clyde river,40,CA,55,-22.0,70.47,-68.59,4.38
19,vaini,1,IN,87,63.64,15.34,74.49,2.59
20,hami,0,CN,59,14.5,42.84,93.51,3.91
21,ushuaia,75,AR,87,51.8,-54.81,-68.31,5.82
22,puerto ayora,75,EC,74,80.6,-0.74,-90.35,9.17
23,nikolskoye,90,RU,80,39.2,59.7,30.79,8.95
24,cape town,75,ZA,100,68.0,-33.93,18.42,4.7
25,bredasdorp,0,ZA,88,68.0,-34.53,20.04,3.36
26,east london,100,ZA,88,74.71,-33.02,27.91,17.07
27,great falls,75,US,80,46.4,47.5,-111.29,5.82
28,atuona,9,PF,78,80.89,-9.8,-139.03,14.27
29,gat,99,SN,63,66.2,14.69,-16.54,14.99
30,swiecie,90,PL,93,37.99,53.41,18.45,8.05
31,butaritari,52,KI,79,84.54,3.07,172.79,17.69
32,souillac,90,FR,100,52.0,45.6,-0.6,5.82
33,balurghat,49,IN,64,58.19,25.22,88.78,4.47
34,ilulissat,40,GL,49,-2.2,69.22,-51.1,14.99
35,punta arenas,92,CL,47,57.2,-53.16,-70.91,12.75
36,kloulklubed,75,PW,70,84.2,7.04,134.26,16.11
37,port alfred,100,ZA,98,68.0,-33.59,26.89,4.0
38,saldanha,54,PT,75,38.93,41.42,-6.55,1.68
39,upata,0,VE,62,72.41,8.02,-62.41,4.63
40,nouadhibou,46,MR,67,59.0,20.93,-17.03,17.22
41,mataura,95,NZ,57,58.24,-46.19,168.86,5.55
42,shahgarh,78,IN,71,59.31,24.31,79.12,4.47
43,teguise,20,ES,77,60.8,29.06,-13.56,12.75
44,tasiilaq,100,GL,45,7.52,65.61,-37.64,28.07
45,timra,100,SE,65,44.6,62.49,17.33,18.34
46,victoria,75,BN,88,80.6,5.28,115.24,4.7
47,novikovo,0,RU,88,18.61,51.15,37.89,5.17
48,los alamos,1,US,29,44.6,35.88,-106.3,2.98
49,cidreira,2,BR,72,75.06,-30.17,-50.22,11.14
50,namatanai,100,PG,68,85.6,-3.66,152.44,4.74
51,esso,99,RU,93,2.77,55.93,158.7,2.48
52,avarua,68,CK,78,82.4,-21.21,-159.78,8.05
53,lavrentiya,37,RU,93,-12.46,65.58,-170.99,2.24
54,kodiak,1,US,48,44.01,39.95,-94.76,9.17
55,rongcheng,57,CN,78,31.46,37.16,122.42,28.34
56,pueblo nuevo solistahuacan,40,MX,60,73.4,17.1,-92.88,18.34
57,barrow,0,AR,44,67.51,-38.31,-60.23,9.84
58,kavieng,77,PG,79,83.3,-2.57,150.8,14.47
59,kampong thum,100,KH,83,72.82,12.71,104.89,4.23
60,chokurdakh,0,RU,93,-26.07,70.62,147.9,5.75
61,portland,1,US,63,33.01,43.66,-70.25,3.67
62,linxi,0,CN,93,60.8,23.65,116.7,4.12
63,dikson,93,RU,97,-0.76,73.51,80.55,8.75
64,paka,29,CF,42,67.55,4.15,15.03,1.21
65,ekhabi,100,RU,93,9.19,53.51,142.97,10.29
66,sisimiut,100,GL,99,-10.39,66.94,-53.67,6.55
67,egvekinot,0,RU,65,-18.17,66.32,-179.17,3.33
68,shubarshi,89,KZ,95,11.5,48.59,57.19,3.85
69,kapit,80,MY,88,72.5,2.02,112.94,1.74
